epoch,train_loss,train_ce_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.0851462613211738,1.059637420957869,0.6624624624624624,0.5592112619068391,0.8314121037463977,0.8103649632510346,0.7963469773071117,0.7911318755078243
2,0.4125431751703715,0.3871104003860428,0.8863663663663663,0.3115077873013778,0.9111431316042267,0.8942942092534023,0.9015051490359702,0.8924291809578383
3,0.23688399478837893,0.21153451273749183,0.9393393393393393,0.2274135363777593,0.9356388088376562,0.9335395493613892,0.9254481443608403,0.9289128606771753
4,0.17217531368718134,0.14691295661367812,0.9608408408408409,0.18749790765366567,0.94716618635927,0.93753854566631,0.9367068061032562,0.9369033010022816
5,0.13726729398733145,0.11209465807264632,0.9679279279279279,0.16698398519089083,0.9562920268972143,0.9630189435781513,0.9358806468533848,0.9478313335572952
6,0.11434742338306553,0.08926619899165524,0.9739339339339339,0.15610225594581947,0.9577329490874159,0.9591742280664762,0.9455338288239762,0.9518854547358965
7,0.10782554263467187,0.08283838746067998,0.9762162162162162,0.16140739415037758,0.9562920268972143,0.9609114053452865,0.9404039067462884,0.9500387047840846
8,0.09113376667102178,0.06624266965342714,0.9795795795795795,0.13780673717101186,0.962536023054755,0.9669596873704791,0.9519744116602581,0.9588342237517615
9,0.08156755070249598,0.056774733446023844,0.9825825825825826,0.12677327557095647,0.9673390970220941,0.965660387679631,0.9573826838078607,0.9613241475268575
10,0.0832231472490786,0.05853075435569694,0.9803003003003004,0.1504997881871937,0.9658981748318924,0.9680524687575757,0.954872153949354,0.960884661496254
11,0.08532934331679129,0.06073956416533874,0.9811411411411411,0.13121337070703276,0.9644572526416907,0.9663442460154702,0.9553399900877982,0.9604836466368903
12,0.06650120853303788,0.04201583243705131,0.9873873873873874,0.14869206954835126,0.9654178674351584,0.9641862644485887,0.9587022897181395,0.9611591882424916
13,0.07005567370144812,0.04567694108496915,0.9854654654654654,0.1637297731311589,0.9615754082612872,0.9630471762228577,0.9499335981912983,0.9560431253411561
14,0.06506512200868166,0.04079514475198121,0.9869069069069069,0.13383542958872463,0.9697406340057637,0.9710324806739592,0.9612845867370504,0.9658765078487024
15,0.07463257609902918,0.05047323802569965,0.9839039039039039,0.15730911407415737,0.9639769452449568,0.9621065913575346,0.9595316804712013,0.9604371558480406
16,0.08041967664752994,0.05637328232372845,0.9819819819819819,0.14410055170370684,0.9721421709894332,0.9716443293374214,0.966538156048764,0.968918138886151
17,0.05875165316256675,0.034820067145031046,0.9895495495495495,0.1366698371459382,0.9654178674351584,0.9637163567511786,0.9554714920911689,0.9592793458663946
18,0.048374326486845275,0.024559722888219105,0.9924324324324324,0.15931319720921439,0.9634966378482228,0.9626341921050671,0.953005928106907,0.9575790948032725
19,0.05951489841615831,0.03581956416278988,0.9893093093093093,0.15147898216641487,0.9639769452449568,0.9632441079242753,0.9554718098842423,0.9589586915071994
20,0.05509801641419843,0.03152346496470273,0.990990990990991,0.16299654043831582,0.9654178674351584,0.9622803735360007,0.9627146191561302,0.9624322395896614
21,0.04942361211051812,0.025972424913924916,0.9921921921921922,0.1831601027911037,0.962536023054755,0.9635994368595219,0.9582232153872677,0.9607590429514371
22,0.05115270207236121,0.027826980355981593,0.9912312312312312,0.16444913288587337,0.9591738712776177,0.9626449752925799,0.9512204044567545,0.9565885324216475
