epoch,gate,value
2,backbone.features.denseblock3.denselayer12.gate,0.8751899600028992
2,backbone.features.denseblock3.denselayer13.gate,0.8751867413520813
2,backbone.features.denseblock3.denselayer14.gate,0.8752154111862183
2,backbone.features.denseblock3.denselayer15.gate,0.8751898407936096
2,backbone.features.denseblock3.denselayer16.gate,0.8752231001853943
2,backbone.features.denseblock3.denselayer17.gate,0.8751717805862427
2,backbone.features.denseblock3.denselayer18.gate,0.8752406239509583
2,backbone.features.denseblock3.denselayer19.gate,0.8752198219299316
2,backbone.features.denseblock3.denselayer20.gate,0.8751999139785767
2,backbone.features.denseblock3.denselayer21.gate,0.8751994371414185
2,backbone.features.denseblock3.denselayer22.gate,0.8751412630081177
2,backbone.features.denseblock3.denselayer23.gate,0.8752534985542297
2,backbone.features.denseblock3.denselayer24.gate,0.8751554489135742
2,backbone.features.denseblock4.denselayer1.gate,0.8752148747444153
2,backbone.features.denseblock4.denselayer2.gate,0.875160813331604
2,backbone.features.denseblock4.denselayer3.gate,0.8752415180206299
2,backbone.features.denseblock4.denselayer4.gate,0.8753216862678528
2,backbone.features.denseblock4.denselayer5.gate,0.8758420944213867
2,backbone.features.denseblock4.denselayer6.gate,0.8750174045562744
2,backbone.features.denseblock4.denselayer7.gate,0.8762655854225159
2,backbone.features.denseblock4.denselayer8.gate,0.8768848180770874
2,backbone.features.denseblock4.denselayer9.gate,0.878530740737915
2,backbone.features.denseblock4.denselayer10.gate,0.8775117993354797
2,backbone.features.denseblock4.denselayer11.gate,0.8784242272377014
2,backbone.features.denseblock4.denselayer12.gate,0.8772504329681396
2,backbone.features.denseblock4.denselayer13.gate,0.8778568506240845
2,backbone.features.denseblock4.denselayer14.gate,0.8773815631866455
2,backbone.features.denseblock4.denselayer15.gate,0.8777660131454468
2,backbone.features.denseblock4.denselayer16.gate,0.8753662705421448
3,backbone.features.denseblock1.denselayer1.gate,0.8724181056022644
3,backbone.features.denseblock1.denselayer2.gate,0.8723924160003662
3,backbone.features.denseblock1.denselayer3.gate,0.8723084926605225
3,backbone.features.denseblock1.denselayer4.gate,0.8722350597381592
3,backbone.features.denseblock1.denselayer5.gate,0.8722358345985413
3,backbone.features.denseblock1.denselayer6.gate,0.8722254037857056
3,backbone.features.denseblock2.denselayer1.gate,0.8722459077835083
3,backbone.features.denseblock2.denselayer2.gate,0.8722773194313049
3,backbone.features.denseblock2.denselayer3.gate,0.872251570224762
3,backbone.features.denseblock2.denselayer4.gate,0.8722825050354004
3,backbone.features.denseblock2.denselayer5.gate,0.8722493052482605
3,backbone.features.denseblock2.denselayer6.gate,0.8722135424613953
3,backbone.features.denseblock2.denselayer7.gate,0.8723106980323792
3,backbone.features.denseblock2.denselayer8.gate,0.8722580671310425
3,backbone.features.denseblock2.denselayer9.gate,0.8722015619277954
3,backbone.features.denseblock2.denselayer10.gate,0.8722525238990784
3,backbone.features.denseblock2.denselayer11.gate,0.8723053336143494
3,backbone.features.denseblock2.denselayer12.gate,0.8723560571670532
3,backbone.features.denseblock3.denselayer1.gate,0.8722370266914368
3,backbone.features.denseblock3.denselayer2.gate,0.872270941734314
3,backbone.features.denseblock3.denselayer3.gate,0.8722394704818726
3,backbone.features.denseblock3.denselayer4.gate,0.8722297549247742
3,backbone.features.denseblock3.denselayer5.gate,0.8722025752067566
3,backbone.features.denseblock3.denselayer6.gate,0.8722667098045349
3,backbone.features.denseblock3.denselayer7.gate,0.8722656965255737
3,backbone.features.denseblock3.denselayer8.gate,0.8722643256187439
3,backbone.features.denseblock3.denselayer9.gate,0.8722208142280579
3,backbone.features.denseblock3.denselayer10.gate,0.8722482919692993
3,backbone.features.denseblock3.denselayer11.gate,0.8722780346870422
3,backbone.features.denseblock3.denselayer12.gate,0.8722705245018005
3,backbone.features.denseblock3.denselayer13.gate,0.872252345085144
3,backbone.features.denseblock3.denselayer14.gate,0.8722898364067078
3,backbone.features.denseblock3.denselayer15.gate,0.8722741603851318
3,backbone.features.denseblock3.denselayer16.gate,0.8722886443138123
3,backbone.features.denseblock3.denselayer17.gate,0.8722525238990784
3,backbone.features.denseblock3.denselayer18.gate,0.8723158836364746
3,backbone.features.denseblock3.denselayer19.gate,0.8722891211509705
3,backbone.features.denseblock3.denselayer20.gate,0.8722499012947083
3,backbone.features.denseblock3.denselayer21.gate,0.8722686767578125
3,backbone.features.denseblock3.denselayer22.gate,0.8722121715545654
3,backbone.features.denseblock3.denselayer23.gate,0.8723322749137878
3,backbone.features.denseblock3.denselayer24.gate,0.8722401857376099
3,backbone.features.denseblock4.denselayer1.gate,0.8722363114356995
3,backbone.features.denseblock4.denselayer2.gate,0.8721150755882263
3,backbone.features.denseblock4.denselayer3.gate,0.8722559809684753
3,backbone.features.denseblock4.denselayer4.gate,0.8722724318504333
3,backbone.features.denseblock4.denselayer5.gate,0.8727953433990479
3,backbone.features.denseblock4.denselayer6.gate,0.8717787265777588
3,backbone.features.denseblock4.denselayer7.gate,0.87319016456604
3,backbone.features.denseblock4.denselayer8.gate,0.8737233281135559
3,backbone.features.denseblock4.denselayer9.gate,0.8757066130638123
3,backbone.features.denseblock4.denselayer10.gate,0.8744117617607117
3,backbone.features.denseblock4.denselayer11.gate,0.8757778406143188
3,backbone.features.denseblock4.denselayer12.gate,0.8742928504943848
3,backbone.features.denseblock4.denselayer13.gate,0.8750228881835938
3,backbone.features.denseblock4.denselayer14.gate,0.8743810653686523
3,backbone.features.denseblock4.denselayer15.gate,0.8747773170471191
3,backbone.features.denseblock4.denselayer16.gate,0.8721655607223511
