epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.0700316081462322,0.6586186186186186,0.5447063501011741,0.8381364073006724,0.8211321290101068,0.8017380472129856,0.8064083099480348
2,0.3880274576718385,0.8855255255255255,0.32431627785667105,0.8972142170989433,0.890380244884657,0.8869263839210484,0.8862345134617587
3,0.2101905975971852,0.938018018018018,0.24187845054666773,0.9274735830931796,0.9269055917882991,0.9077818999504121,0.9162144794652576
4,0.14950497413809236,0.9561561561561561,0.20084395950282571,0.9404418828049952,0.93080204072825,0.9358221441854002,0.9324688817858888
5,0.10947882879961718,0.9692492492492493,0.18134527957634097,0.9514889529298751,0.9545746869771328,0.937197579870419,0.9449535925355228
6,0.08886588950772902,0.9747747747747748,0.16207086478827895,0.9534101825168108,0.9537150638373216,0.944967152610816,0.9488708649997177
7,0.07539654480444419,0.975975975975976,0.1443956935211057,0.9634966378482228,0.9655470814324906,0.9572432644941371,0.961183456666124
8,0.06649947872390977,0.9805405405405405,0.1589174485916592,0.9543707973102786,0.956996371378174,0.9385332764926899,0.9466065032791597
9,0.05726510168016852,0.9835435435435436,0.1491321499363719,0.9582132564841499,0.9571882145673094,0.9523497621792103,0.9544829306694831
10,0.05434927690494526,0.9836636636636636,0.18039840030395332,0.9577329490874159,0.9599388566651095,0.9517043900872851,0.95470050937847
11,0.055625241840700126,0.9818618618618619,0.16594992333255515,0.9606147934678194,0.9657791770736155,0.9533598839974363,0.9592075889574886
12,0.05437192985961387,0.983063063063063,0.13101161030138145,0.9697406340057637,0.9667605778267105,0.9613683288676962,0.963932023095983
13,0.05561850176827686,0.9824624624624625,0.17147238396544737,0.9615754082612872,0.9623321741834531,0.95572188894654,0.958844022923755
14,0.028708116113468334,0.9917117117117117,0.16041401850272555,0.9678194044188281,0.969107917157942,0.9576483783320662,0.9628554544896991
15,0.03674682640098595,0.9894294294294295,0.16473160582477375,0.9615754082612872,0.9621634715936095,0.9539747531101168,0.957738823970385
16,0.04549135477156253,0.9854654654654654,0.1364051950997051,0.9678194044188281,0.9734661817104705,0.9602902127275946,0.9664481279020695
17,0.03230958480376739,0.9890690690690691,0.21331240023476475,0.9534101825168108,0.9563085360437364,0.9416923285012435,0.9481736904230651
18,0.03750849797561004,0.9882282282282282,0.18177947324703336,0.9610951008645533,0.9616893416972839,0.950721172988796,0.9554125557273372
19,0.05023345583551997,0.984024024024024,0.15882704254529662,0.9606147934678194,0.9575856174033172,0.9552486554845991,0.955857334080429
20,0.039786783281333366,0.9876276276276277,0.15563523362853227,0.9639769452449568,0.9677941180582905,0.9569743132384574,0.9621139057419243
21,0.024566611828444686,0.9921921921921922,0.14394185390756406,0.9678194044188281,0.9699063413199344,0.9621319574302623,0.9658421325505928
22,0.031249607880194267,0.9902702702702703,0.15952037322074605,0.9663784822286263,0.9648282045057448,0.9627519000322249,0.9636248210430776
